HM Number,Normalized Western
HM-1035,1.66175419
HM-1070 ,1.30029047
HM-1084 ,1.528769
HM-1089 ,0.220006
HM-109,1.205243423
HM-114,0.844299054
HM-1152 ,1.20291698
HM-1153,0.4139893
HM-116,1.639127913
HM-125,0.22985502
HM-1266 ,2.26698133
HM-1295 ,0.194007
HM-236 ,1.47338981
HM-238 ,1.63764193
HM-245 ,0.68656798
HM-30,1.2
HM-491 ,2.07474547
HM-633,0.88
HM-784,0.27
HM-818 ,0.75487819
HM-839,2.54067012
HM-841 ,0.334571
HM-856,2.81
HM-94 ,0.83246358
HM-98,0.19375594
HM-1294,0.567956398
HM-15,0.03927904
HM-18,0.34
HM-20,63.5
HM-210,0.97
HM-222,1.59
HM-4,0.19
HM-709,61.59
HM-717,28.27
HM-720,0.49
HM-725,0.49
HM-726,1.53
HM-727,3.38
HM-840 ,0.559772
HM-111,1.51700925
HM-1034,0.16649418
HM-1048,2.1539444
HM-1049,0.15
HM-106,1.86405262
HM-1060,2.69
HM-1063,1.8650856
HM-1083 ,1.122794
HM-1098 ,1.670486
HM-1164,1.694081639
HM-117 ,0.07675857
HM-1182 ,1.326593
HM-119,1.273568623
HM-120 ,0.26711365
HM-1200,0.93306114
HM-121 ,0.74646938
HM-1292,0.59158206
HM-140 ,0.23902279
HM-141,0.723277464
HM-143,0.767017382
HM-163 ,1.40151822
HM-173,1.24
HM-179,1.25
HM-220,5.84113325
HM-240 ,2.69567216
HM-241 ,2.02539985
HM-262 ,0.15440341
HM-272,0.980835615
HM-287,2.41
HM-300,0.26
HM-303,0.63
HM-304,0.13
HM-306,0.36
HM-308,0.34
HM-309,2.31
HM-331 ,0.041378
HM-36,0.63
HM-375,1.2699631
HM-399,1.14529632
HM-466,0.796152974
HM-475,3.71
HM-478,1.12388864
HM-561,0.363808963
HM-643,1.16328958
HM-646 ,1.083933
HM-647 ,1.016954
HM-702,0.8455582
HM-79,2.19
HM-81,0.56817626
HM-85,2.1
HM-853,0.09967414
HM-885,0.225506563
HM-968 ,0.076034
HM-1274 ,1.515472
HM-57,0.18
HM-75,0.7
E. coli OP50,1
PAO1,3.090101149
HM-1,0.21
HM-107,0.722086656
HM-115,1.897067007
HM-158,15.33
HM-206 ,0.64510257
HM-235,2.763020066
HM-242,0.347607428
HM-299,3.09
HM-34,8.17
HM-340,6
HM-341,2.11
HM-354,2.53
HM-38,2.02
HM-44,2.85
HM-477 ,0.442255
HM-624,1.10918337
HM-648,2.630042555
HM-751,4.647839543
HM-791,0.31021294
HM-91,0.626294489
HM-575,3.6450412
HM-1191,0.905321923
HM-844,0.38799765
