HM Number,Normalized Western
HM-98,0.19375594
HM-1089 ,0.220006
HM-94 ,0.83246358
HM-1070 ,1.30029047
HM-236 ,1.47338981
HM-238 ,1.63764193
HM-1266 ,2.26698133
HM-1282,2.42
HM-1152 ,1.20291698
HM-1084 ,1.528769
HM-1035,1.66175419
HM-839,2.54067012
HM-856,0.08
HM-846,0.47
HM-1189,0.73
HM-633,0.88
HM-30,1.2
HM-1295 ,0.194007
HM-784,0.27
HM-1153,0.4139893
HM-109,1.205243423
HM-857,2.26
HM-1099,0.97
HM-841 ,0.334571
HM-114,0.844299054
HM-125,0.22985502
HM-1239,1.36
HM-877,1.75
HM-1052,0.54
HM-1253,0.86
HM-491 ,2.07474547
HM-116,1.639127913
HM-245 ,0.68656798
HM-818 ,0.75487819
HM-1055,2.03
HM-470,0.12
HM-1190,0.42
