HM Number,Normalized Western
HM-1036,0.31
HM-18,0.34
HM-720,0.49
HM-725,0.49
HM-728,0.89
HM-210,0.97
HM-726,1.53
HM-222,1.59
HM-727,3.38
HM-717,28.27
HM-709,61.59
HM-20,63.5
HM-4,0.19
HM-15,0.03927904
HM-840 ,0.559772
HM-729,1.1
HM-1050,6.77
HM-1071,0.08
HM-1073,0.36
HM-781,0.42
HM-130,0.9
HM-1064,1.24
HM-1054,0.08
HM-849,0.09
HM-208,0.1
HM-93,0.25
HM-1171,0.28
HM-92,0.31
HM-1286,0.49
HM-80,0.51
HM-1294,0.567956398
HM-471,0.64
HM-16,0.68
HM-138,0.77
HM-5,0.81
HM-1270,0.83
HM-45,0.87
HM-1165,0.93
HM-136,1.2
HM-271,1.33
HM-1103,1.72
