HM Number,Normalized Western
HM-853,0.09967414
HM-81,0.56817626
HM-1034,0.16649418
HM-1292,0.59158206
HM-220,5.84113325
HM-1192,0.07
HM-1182 ,1.326593
HM-1098,2.16
HM-793,2.94
HM-306,0.36
HM-315,0.48
HM-1044,0.53
HM-303,0.63
HM-36,0.63
HM-1041,0.65
HM-746,0.91
HM-318,1.06
HM-173,1.24
HM-1039,2.12
HM-309,2.31
HM-287,2.41
HM-745,5.06
HM-304,0.13
HM-85,2.1
HM-794,0.33
HM-300,0.26
HM-968 ,0.076034
HM-432,2.16
HM-180,2.05
HM-473,2.14
HM-1285,1.34
HM-241 ,2.02539985
HM-240 ,2.69567216
HM-308,0.34
HM-702,0.8455582
HM-647 ,1.016954
HM-646 ,1.083933
HM-478,1.12388864
HM-399,1.14529632
HM-643,1.16328958
HM-375,1.2699631
HM-106,1.86405262
HM-1048,2.1539444
HM-1083 ,1.122794
HM-1049,0.15
HM-1161,0.21
HM-1051,0.11
HM-179,1.25
HM-79,2.19
HM-1057,0.15
HM-1056,0.88
HM-270,0.64
HM-1136,0.85
HM-564,1.48
HM-882,0.24
HM-1059,0.6
HM-1058,1.19
HM-117 ,0.07675857
HM-140 ,0.23902279
HM-120 ,0.26711365
HM-141,0.723277464
HM-143,0.767017382
HM-466,0.796152974
HM-119,1.273568623
HM-1164,1.694081639
HM-480,1.1
HM-262 ,0.15440341
HM-885,0.225506563
HM-561,0.363808963
HM-121 ,0.74646938
HM-272,0.980835615
HM-163 ,1.40151822
HM-1063,1.8650856
HM-1060,2.69
HM-475,3.71
HM-1096,2.34
HM-1301,0.27
HM-778,0.66
HM-1157,1.62
HM-1200,0.93306114
